,Headline,Link
35,['India vs Pakistan EXPLAINED: Timeline as nuclear-armed countries taken to brink of war'],['https://news.google.com/articles/CBMif2h0dHBzOi8vd3d3LmV4cHJlc3MuY28udWsvbmV3cy93b3JsZC8xMDk1MzcyL2luZGlhLVBha2lzdGFuLWNvbmZsaWN0LXRlbnNpb25zLWV4cGxhaW5lZC1udWNsZWFyLXdlYXBvbnMtd2FyLUthc2htaXItbGF0ZXN0LW5ld3PSAc0BaHR0cHM6Ly93d3ctZXhwcmVzcy1jby11ay5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL3d3dy5leHByZXNzLmNvLnVrL25ld3Mvd29ybGQvMTA5NTM3Mi9pbmRpYS1QYWtpc3Rhbi1jb25mbGljdC10ZW5zaW9ucy1leHBsYWluZWQtbnVjbGVhci13ZWFwb25zLXdhci1LYXNobWlyLWxhdGVzdC1uZXdzL2FtcD9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ']
36,['In Pakistan-administered Kashmir a shrinking pro-freedom space'],['https://news.google.com/articles/CAIiEAvYIpLpqxOsIoDHplahgAAqFAgEKgwIACoFCAowhgIwkDgw0O8B']
37,['After Pulwama the Indian media proves it is the BJP’s propaganda machine'],['https://news.google.com/articles/CAIiEGqD3zdL5Cd6bbG6yDKZRo4qGAgEKg8IACoHCAowjtSUCjC30XQwzqe5AQ']
38,['Indian-Americans Protest Outside UN Headquarters Against Pulwama Attack'],['https://news.google.com/articles/CAIiEC0SEUZ4IjBLovWsICJmIyQqGQgEKhAIACoHCAowj8n_CjDIrfkCMPGi6AU']
39,"[""Trump claims \\'presidential harassment\\' over Dems corruption probe""]",['https://news.google.com/articles/CAIiEIxcTIht_cYphT8QlCpPYMYqGQgEKhAIACoHCAowqeP_CjDdg_oCMMXe6QU']
40,['US House committees launch sweeping Trump inquiries'],['https://news.google.com/articles/CBMiVmh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL3dvcmxkL3RydW1wLXByb2JlLWhvdXNlLWp1ZGljaWFyeS1yZXF1ZXN0cy1kb2N1bWVudHMtMS41MDQxOTg30gEA']
41,"[""The Democrats are asking for documents on Trump\\'s circle. Here are seven intriguing names on their list""]",['https://news.google.com/articles/CBMidmh0dHBzOi8vbmF0aW9uYWxwb3N0LmNvbS9uZXdzL3dvcmxkL2hlcmUtYXJlLXNldmVuLWludHJpZ3VpbmctbmFtZXMtdGhhdC1kZWNrLXRoZS1saXN0LW9mLWRlbW9jcmF0cy1kb2N1bWVudHMtcmVxdWVzdHPSAcMBaHR0cHM6Ly9uYXRpb25hbHBvc3QtY29tLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3MvbmF0aW9uYWxwb3N0LmNvbS9uZXdzL3dvcmxkL2hlcmUtYXJlLXNldmVuLWludHJpZ3VpbmctbmFtZXMtdGhhdC1kZWNrLXRoZS1saXN0LW9mLWRlbW9jcmF0cy1kb2N1bWVudHMtcmVxdWVzdHMvYW1wP2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl']
42,['House Democrats are weaponizing the process against Trump'],['https://news.google.com/articles/CBMiWWh0dHBzOi8vd3d3LmZveG5ld3MuY29tL29waW5pb24vaG91c2UtZGVtb2NyYXRzLWFyZS13ZWFwb25pemluZy10aGUtcHJvY2Vzcy1hZ2FpbnN0LXRydW1w0gGlAWh0dHBzOi8vd3d3LWZveG5ld3MtY29tLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3Mvd3d3LmZveG5ld3MuY29tL29waW5pb24vaG91c2UtZGVtb2NyYXRzLWFyZS13ZWFwb25pemluZy10aGUtcHJvY2Vzcy1hZ2FpbnN0LXRydW1wLmFtcD9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ']
43,['The silly ways Republicans will defend keeping Trump’s tax returns secret'],['https://news.google.com/articles/CAIiEFBNb65Vcma52DJnhCkfdZIqGAgEKg8IACoHCAowjtSUCjC30XQwzqe5AQ']
44,"[""At least 23 dead in Alabama after tornadoes ravage the southeast causing \\'catastrophic\\' damage""]",['https://news.google.com/articles/CBMikgFodHRwczovL25hdGlvbmFscG9zdC5jb20vbmV3cy93b3JsZC9hdC1sZWFzdC0yMy1kZWFkLWluLWFsYWJhbWEtYWZ0ZXItb25lLW9mLXRoZS13b3JzdC10b3JuYWRvZXMtcmF2YWdlLXRoZS1zb3V0aGVhc3QtY2F1c2luZy1jYXRhc3Ryb3BoaWMtZGFtYWdlc9IB3wFodHRwczovL25hdGlvbmFscG9zdC1jb20uY2RuLmFtcHByb2plY3Qub3JnL3Yvcy9uYXRpb25hbHBvc3QuY29tL25ld3Mvd29ybGQvYXQtbGVhc3QtMjMtZGVhZC1pbi1hbGFiYW1hLWFmdGVyLW9uZS1vZi10aGUtd29yc3QtdG9ybmFkb2VzLXJhdmFnZS10aGUtc291dGhlYXN0LWNhdXNpbmctY2F0YXN0cm9waGljLWRhbWFnZXMvYW1wP2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl']
